Forkortelse,Navn,ID
FRS,Frognerseteren,0
VKO,Voksenkollen,1
LIV,Lillevann,2
SKO,Skogen,3
VLA,Voksenlia,4
HOK,Holmenkollen,5
BES,Besserud,6
MID,Midtstuen,7
SKÅ,Skådalen,8
VET,Vettakollen,9
GUL,Gulleråsen,10
GRÅ,Gråkammen,11
SLE,Slemdal,12
RIS,Ris,13
,Gaustad,14
VIN,Vinderen,15
STE,Steinerud,16
FRØ,Frøen,17
MAJ,Majorstuen,18
,Nationaltheatret,19
STT,Stortinget,20
JER,Jernbanetorget,21
GRØ,Grønland,22
TØY,Tøyen,23
ENS,Ensjø,24
HFY,Helsfyr,25
BRY,Brynseng,26
HØY,Høyenhall,27
MAN,Manglerud,28
RYE,Ryen,29
BRA,Brattklikollen,30
KAR,Karlsrud,31
LAM,Lambertseter,32
MUN,Munkelia,33
BKR,Bergkrystallen,34
,Ellingsrudåsen,35
,Furuset,36
,Lindeberg,37
,Trosterud,38
,Haugerud,39
,Tveita,40
HEL,Hellerud,41
,Borgen,42
,Smestad,43
,Makrellbekken,44
,Holmen,45
,Hovseter,46
,Røa,47
,Ekraveien,48
,Eiksmarka,49
,Lijordet,50
,Østerås,51
,Kolsås,52
,Hauger,53
,Gjettum,54
,Avløs,55
,Haslum,56
,Gjønnes,57
,Bekkestua,58
,Ringstabekk,59
,Jar,60
,Bjørnsletta,61
,Åsjordet,62
,Ullernåsen,63
,Montebello,64
GOD,Godlia,65
SÅS,Skøyenåsen,66
OPP,Oppsal,67
ULS,Ulsrud,68
BØL,Bøler,69
BOG,Bogerud,70
SKU,Skullerud,71
MOR,Mortensrud,72
BLI,Blindern,73
FOR,Forskningsparken,74
UST,Ullevål stadion,75
NYD,Nydalen,76
STR,Storo,77
SIN,Sinsen,78
,Løren,79
,Økern,80
,Risløkka,81
,Vollebekk,82
,Linderud,83
,Veitvet,84
,Rødtvet,85
,Kalbakken,86
,Ammerud,87
,Grorud,88
,Romsås,89
,Rommen,90
,Stovner,91
,Vestli,92
,Hasle,93
CBP,Carl Berners plass,94
BER,Berg,95
,Tåsen,96
,Østhorn,97
,Holstein,98
,Kringsjå,99
SOG,Sognsvann,100
